                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.74869,                 1.2988,                 1.1649,                0.85705,                0.83977,                0.91325,                0.71815,                0.92836,                 1.4696,                 1.3254,             0.00066055,             0.00066055,             0.00066055
                      1,                0.74238,                0.79529,                 1.1377,                0.58163,                0.84152,                0.80599,                0.63116,                 1.0449,                 1.4969,                   1.39,              0.0013097,              0.0013097,              0.0013097
                      2,                0.74956,                0.67476,                 1.1432,                0.94804,                0.92188,                0.96642,                0.65966,                0.96002,                 1.1258,                 1.3306,              0.0019412,              0.0019412,              0.0019412
                      3,                0.73811,                0.60767,                 1.1193,                 0.8635,                0.92491,                0.94166,                0.73476,                0.92648,                0.80678,                 1.2465,              0.0019208,              0.0019208,              0.0019208
                      4,                0.71373,                0.54251,                 1.1217,                0.94486,                0.94669,                 0.9748,                0.76634,                0.88111,                0.65666,                 1.2321,              0.0019208,              0.0019208,              0.0019208
                      5,                0.69442,                 0.5093,                 1.1115,                0.94299,                0.90179,                0.95602,                0.75216,                0.95605,                0.71606,                 1.2907,              0.0018944,              0.0018944,              0.0018944
                      6,                0.69659,                0.49424,                 1.1076,                0.96682,                 0.9654,                0.97947,                 0.7667,                0.86277,                0.61947,                 1.2032,               0.001868,               0.001868,               0.001868
                      7,                0.67545,                0.47935,                 1.0973,                0.97511,                0.96987,                0.98616,                0.76949,                0.85246,                0.56544,                 1.1904,              0.0018416,              0.0018416,              0.0018416
                      8,                0.69551,                0.47017,                 1.1021,                0.96802,                0.96596,                0.98697,                0.76156,                 0.8786,                0.62109,                 1.2764,              0.0018152,              0.0018152,              0.0018152
                      9,                0.65899,                0.43298,                 1.0788,                0.97732,                0.96203,                 0.9887,                 0.7747,                0.87028,                0.53909,                 1.1948,              0.0017888,              0.0017888,              0.0017888
                     10,                 0.6701,                0.44089,                 1.0943,                0.94005,                0.95383,                0.97527,                0.78022,                 0.8305,                0.52054,                 1.1694,              0.0017624,              0.0017624,              0.0017624
                     11,                0.65159,                 0.4186,                 1.0775,                0.96477,                0.98158,                0.98788,                0.79425,                  0.821,                0.52122,                 1.1824,               0.001736,               0.001736,               0.001736
                     12,                0.63192,                0.41197,                  1.079,                0.94545,                0.96484,                0.97682,                0.76504,                0.89941,                 0.5164,                 1.2145,              0.0017096,              0.0017096,              0.0017096
                     13,                 0.6491,                0.40406,                 1.0816,                0.97447,                0.97321,                0.98821,                0.79972,                0.82976,                0.48385,                 1.1669,              0.0016832,              0.0016832,              0.0016832
                     14,                0.63737,                0.38945,                 1.0674,                0.97957,                0.97879,                0.99176,                0.79157,                0.84999,                0.45118,                 1.1793,              0.0016568,              0.0016568,              0.0016568
                     15,                0.62504,                0.38968,                 1.0654,                0.98788,                0.97489,                0.99103,                0.80117,                0.84439,                0.45215,                 1.1801,              0.0016304,              0.0016304,              0.0016304
                     16,                0.63577,                0.38368,                 1.0745,                0.98073,                0.95871,                0.98736,                0.77251,                0.90557,                 0.4715,                  1.236,               0.001604,               0.001604,               0.001604
                     17,                0.63217,                0.38103,                 1.0727,                0.98817,                0.97874,                0.99332,                0.82112,                 0.8134,                 0.4102,                 1.1455,              0.0015776,              0.0015776,              0.0015776
                     18,                0.63293,                0.38324,                 1.0722,                0.99044,                0.98311,                0.99387,                0.78531,                0.85219,                 0.4418,                 1.1862,              0.0015512,              0.0015512,              0.0015512
                     19,                0.62757,                0.36713,                 1.0724,                 0.9889,                0.97935,                0.99279,                0.82445,                0.81085,                0.38557,                 1.1471,              0.0015248,              0.0015248,              0.0015248
                     20,                  0.618,                 0.3582,                 1.0664,                0.98339,                0.97935,                0.99153,                0.79798,                0.82546,                0.43574,                 1.1714,              0.0014984,              0.0014984,              0.0014984
                     21,                 0.6271,                0.36615,                 1.0673,                0.98455,                0.98103,                 0.9928,                0.81803,                0.80462,                 0.4206,                 1.1587,               0.001472,               0.001472,               0.001472
