                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.74869,                 1.2988,                 1.1649,                0.85705,                0.83977,                0.91325,                0.71815,                0.92836,                 1.4696,                 1.3254,             0.00066055,             0.00066055,             0.00066055
                      1,                0.75309,                0.80422,                 1.1427,                0.74491,                0.83597,                0.86166,                0.66115,                0.99212,                 1.2551,                 1.3422,              0.0013185,              0.0013185,              0.0013185
                      2,                0.75093,                0.67189,                 1.1402,                0.84845,                0.88411,                0.91206,                0.52916,                 1.3261,                  1.086,                 1.7772,              0.0019676,              0.0019676,              0.0019676
                      3,                0.74316,                0.60166,                 1.1275,                0.86834,                0.91964,                 0.9449,                0.72999,                0.92014,                 0.9135,                 1.3046,              0.0019604,              0.0019604,              0.0019604
                      4,                0.71135,                0.54802,                 1.1223,                0.77993,                0.80887,                0.86681,                0.62127,                 1.0681,                 1.0147,                  1.397,              0.0019604,              0.0019604,              0.0019604
                      5,                0.68574,                0.50262,                 1.1099,                0.98056,                0.95647,                0.98234,                0.76904,                0.89879,                0.56318,                 1.2868,              0.0019472,              0.0019472,              0.0019472
                      6,                0.68028,                0.48767,                 1.1056,                0.98249,                0.95089,                0.98647,                0.77558,                0.87894,                0.57289,                 1.2387,               0.001934,               0.001934,               0.001934
                      7,                0.67952,                0.46316,                 1.1056,                0.97503,                0.96038,                0.98312,                0.75451,                0.95414,                0.58049,                  1.428,              0.0019208,              0.0019208,              0.0019208
                      8,                0.68094,                0.45718,                 1.0984,                 0.9771,                0.95256,                0.98245,                0.77393,                0.88988,                0.50593,                 1.2284,              0.0019076,              0.0019076,              0.0019076
                      9,                0.66432,                0.42752,                 1.0883,                0.97391,                0.97266,                0.98922,                0.77255,                0.88018,                0.57092,                  1.221,              0.0018944,              0.0018944,              0.0018944
                     10,                0.67491,                 0.4489,                 1.0958,                0.97157,                0.97269,                0.98941,                0.76966,                0.89182,                0.48593,                 1.2247,              0.0018812,              0.0018812,              0.0018812
                     11,                0.65277,                0.42772,                  1.086,                0.97812,                0.96931,                0.98646,                0.78659,                  0.853,                0.54366,                 1.2068,               0.001868,               0.001868,               0.001868
                     12,                0.63467,                0.41138,                 1.0833,                0.97401,                0.97489,                0.98773,                0.78422,                0.85013,                0.48812,                  1.207,              0.0018548,              0.0018548,              0.0018548
                     13,                0.65111,                 0.4092,                 1.0842,                 0.9611,                0.96502,                0.98427,                0.78716,                0.86522,                0.53508,                 1.2301,              0.0018416,              0.0018416,              0.0018416
                     14,                0.64809,                0.39769,                 1.0816,                0.97923,                0.96596,                0.98912,                0.77907,                0.89215,                0.45791,                 1.2276,              0.0018284,              0.0018284,              0.0018284
                     15,                0.63735,                0.39713,                 1.0742,                0.98516,                0.96307,                0.99065,                0.79986,                0.85715,                0.47599,                 1.2017,              0.0018152,              0.0018152,              0.0018152
                     16,                0.64105,                0.37989,                 1.0798,                0.97132,                0.95312,                0.98591,                 0.7882,                 0.8747,                0.44812,                 1.2294,               0.001802,               0.001802,               0.001802
                     17,                0.64386,                0.38118,                 1.0826,                 0.9875,                0.96959,                0.98915,                0.79937,                0.86436,                0.43337,                 1.1909,              0.0017888,              0.0017888,              0.0017888
                     18,                0.65305,                0.39271,                  1.085,                0.98698,                0.97292,                0.99187,                0.79038,                0.89549,                0.44211,                 1.2484,              0.0017756,              0.0017756,              0.0017756
                     19,                0.63712,                0.36901,                 1.0772,                0.98773,                0.97377,                0.99184,                  0.798,                0.83355,                  0.431,                 1.1774,              0.0017624,              0.0017624,              0.0017624
                     20,                0.62592,                0.37494,                 1.0742,                0.98818,                0.97964,                 0.9937,                0.79507,                0.83676,                0.43377,                 1.1933,              0.0017492,              0.0017492,              0.0017492
                     21,                0.62791,                0.37378,                 1.0693,                0.98849,                0.97154,                0.99151,                0.80312,                0.81081,                0.42873,                 1.1642,               0.001736,               0.001736,               0.001736
